Price,Close,High,Low,Open,Volume
Ticker,0700.HK,0700.HK,0700.HK,0700.HK,0700.HK
Date,,,,,
2023-12-28,287.976806640625,290.5322382274392,279.9173754809151,280.11395867774104,37840686
2023-12-29,288.5665283203125,290.72879352908745,284.63510431048365,289.94252072487564,19624685
2024-01-02,291.51513671875,299.7711222844269,289.352841215992,294.8568415912396,23354069
2024-01-03,295.446533203125,296.42938924838194,287.3871016342633,288.9596773055517,20391718
2024-01-04,293.6773986816406,299.18139899044013,292.8911257779787,299.18139899044013,20217430
2024-01-05,287.1905517578125,291.5151124082995,284.6351200115836,290.33567314253645,23745017
2024-01-08,283.0625305175781,289.5493861741496,280.3105456908557,289.3528029746473,16718452
2024-01-09,278.73797607421875,284.241975840451,278.54139287048747,281.09682454706524,16927478
2024-01-10,275.3962707519531,280.3105508867533,272.05453626478055,277.16539960272695,19146068
2024-01-11,282.4728088378906,287.38708884548925,275.19968042552165,275.78940002531044,20604580
2024-01-12,283.4556884765625,287.9768324594449,279.91740057715947,280.7037034405753,15770055
2024-01-15,284.43853759765625,288.76309826023277,282.66940868845245,285.0282572321864,16334371
2024-01-16,277.55853271484375,283.8488052137281,275.19968427706027,278.934525137352,22236094
2024-01-17,269.89227294921875,274.0202502956005,267.5334244663741,272.2511214320634,36114167
2024-01-18,272.8408203125,274.41339584632556,266.55054817158134,269.89225243447095,24604079
2024-01-19,266.5505676269531,277.7551203824007,263.6019995337098,270.2854085473071,26897479
2024-01-22,257.7048645019531,266.9437052366361,255.7391524309829,265.96084920115095,33654810
2024-01-23,267.3368225097656,273.4305414911976,258.68770201455607,262.2259594934431,35610787
2024-01-24,276.96881103515625,279.524242654635,267.53341735459634,274.80654581435505,33863638
2024-01-25,285.81451416015625,286.9939533635137,275.9859541134606,280.1139613308267,34160783
2024-01-26,277.9516906738281,285.2248497463174,276.37914492296426,283.25913756335,24815795
2024-01-29,277.1654052734375,283.4556779758014,274.60997355218103,281.0968294617132,20159014
2024-01-30,269.1059875488281,275.19970735223995,268.31971466843396,272.4477222764727,21505998
2024-01-31,265.9608459472656,273.2339745219956,263.7985506978985,269.1059672257077,20052974
2024-02-01,266.9437255859375,273.03741547383987,263.4054375895878,265.37114981040565,17329472
2024-02-02,274.6099853515625,282.6694172815781,270.2854245575197,279.7208490136779,31053753
2024-02-05,274.8065490722656,278.54138994889945,269.1059661620949,273.6271098510205,20456590
2024-02-06,285.81451416015625,287.5836729651924,274.806544904488,275.003098108791,28856902
2024-02-07,287.1905517578125,291.9082488320917,283.8488171696127,289.9425367187443,26343654
2024-02-08,282.2762756347656,288.1734120617227,281.4899727812059,285.02826063625747,17910672
2024-02-09,282.2762756347656,282.47282885236535,276.5756924254083,279.7208438508735,6732059
2024-02-14,285.02825927734375,286.2076985548668,277.16541074555494,282.079691077923,11567444
2024-02-15,280.50714111328125,285.02828543281765,280.1140046494932,283.6522928123647,12568028
2024-02-16,286.7973937988281,286.7973937988281,275.59284042114274,280.7037040643474,17215356
2024-02-19,279.9173889160156,286.40424479561926,278.9345328734813,286.40424479561926,15415304
2024-02-20,279.32769775390625,282.8659554921137,275.5928268161298,282.07968266015337,15773028
2024-02-21,283.84881591796875,289.5493990181712,275.98596749925065,275.98596749925065,23947218
2024-02-22,286.40423583984375,286.40423583984375,281.88309218668354,283.25911459871264,12441270
2024-02-23,285.81451416015625,291.3185137851828,282.07967334016587,285.02824135417455,13229798
2024-02-26,282.2762756347656,285.2248438482442,280.5071167100464,282.47282885236535,12412426
2024-02-27,279.7208251953125,281.29340080316456,273.4305527582893,281.29340080316456,23612599
2024-02-28,272.2511291503906,280.9002504974859,271.66140951436444,280.11397764570876,25903478
2024-02-29,272.4477233886719,274.21685237397463,269.89229152537735,270.4820111852742,29721885
2024-03-01,272.6442565917969,274.21683223791655,267.14025682757085,268.31969606075705,27952651
2024-03-04,271.46484375,275.19968461487633,270.0888213314174,272.6442529731469,13832089
2024-03-05,263.6020202636719,268.5163008055421,261.6363080469238,265.5677324804199,26055083
2024-03-06,269.89227294921875,272.2511214320634,261.2431218529405,261.43970505750497,23289346
2024-03-07,266.35400390625,270.875147978813,264.58487491865003,270.0888450998002,17159729
2024-03-08,265.37115478515625,270.8751551055039,265.37115478515625,267.33686704282405,12416156
2024-03-11,273.8236999511719,273.8236999511719,266.5505712219551,266.5505712219551,17866889
2024-03-12,285.81451416015625,287.5836729651924,275.39626450616674,277.16539331681804,36531141
2024-03-13,285.61798095703125,288.9596856080428,283.65226881003775,286.40425381807387,20074418
2024-03-14,284.2419738769531,288.959670790057,281.8830954260157,284.4385270849409,14227432
2024-03-15,278.9345397949219,281.29341835104594,274.8065623104784,278.1482669391384,29183023
2024-03-18,284.8316650390625,286.4042406834155,277.3619832185606,277.3619832185606,19633305
2024-03-19,280.1139831542969,286.2077028557593,280.1139831542969,284.04540747926944,15635351
2024-03-20,283.84881591796875,285.2248383867535,278.14826281215267,280.50711133889087,15622235
2024-03-21,286.20770263671875,293.0876952001554,284.63512690905577,290.13912695868254,36868686
2024-03-22,283.84881591796875,285.42139160058963,277.5585431818716,282.47282344357035,26432205
2024-03-25,283.6522521972656,285.6179642291325,280.1139645410282,283.84880540382113,21127168
2024-03-26,294.2671203613281,295.4465597192448,281.0968541717398,281.0968541717398,33998571
2024-03-27,296.822509765625,302.3265093230698,290.7287906137425,290.9253738100166,38753084
2024-03-28,298.5916748046875,304.2922582504783,296.2328261349481,296.82254580098,30000843
2024-04-02,303.89910888671875,307.04423031455195,302.52308639300566,303.7025256749349,26561604
2024-04-03,303.1128234863281,306.6511115414534,301.1471112328573,306.6511115414534,19696947
2024-04-05,304.6853942871094,306.2579700629527,299.1813940688517,304.29225784174554,13582369
2024-04-08,300.1642150878906,305.6682146626873,299.1813590921907,299.9676618853814,21656541
2024-04-09,299.7711181640625,303.5059594417937,297.80540591380634,302.1299668654922,17879375
2024-04-10,308.8133850097656,309.7962410664557,301.1470897709514,301.1470897709514,24730145
2024-04-11,309.59967041015625,311.1722461634981,303.7025338309152,304.4888067103922,18834968
2024-04-12,304.292236328125,312.54822107461496,304.09565312214755,308.61679691015445,23031342
2024-04-15,299.181396484375,303.50595740706865,298.59167681437395,299.37797970583813,18295291
2024-04-16,296.6259460449219,303.1128020208756,294.85681713983746,296.03625640615144,19691636
2024-04-17,295.6430969238281,298.7882483781956,292.69452868325385,296.62595300401955,14410544
2024-04-18,299.181396484375,303.50595740706865,293.48084299460453,297.01913102022235,19058907
2024-04-19,298.5916748046875,300.16425058264315,294.46369713124056,298.19853835879564,19472600
2024-04-22,314.9070739746094,317.06936929303083,301.54022562979134,302.7196648933642,41133325
2024-04-23,326.70135498046875,327.88079427417796,319.6248092013752,320.41108206758986,43821652
2024-04-24,338.299072265625,339.0853451261337,329.6499208280943,332.0087694040074,41472682
2024-04-25,333.5813293457031,340.4613215301818,330.63276126664084,334.36763216341774,27727556
